person_id,name,title,organization,type,tickers,age,born,pay,exercised,unexercised
PER-0001,A. Brad Delco,EVP of Finance & Chief Financial Officer,,executive,JBHT,,,,0,0
PER-0002,A. Clay Holder,Executive VP & Chief Financial Officer,,executive,MAA,48,1977,1009570,0,0
PER-0003,A. Cory Stevens,President & COO of Freeport Americas,,executive,FCX,,,,0,0
PER-0004,A. Jayson Adair,Executive Chairman,,executive,CPRT,56,1969,432172,0,96280000
PER-0005,A. Lily Ley,VP & Chief Information Officer,,executive,PCAR,59,1966,,0,0
PER-0006,A. Scott Mansolillo,Senior VP & Chief Compliance Officer,,executive,WRB,,,,0,0
PER-0007,A. Warren Gardiner C.F.A.,Chief Financial Officer,,executive,ICE,44,1981,2132867,0,289957
PER-0008,Aamir  Malik,Executive VP & Chief U.S. Commercial Officer,,executive,PFE,49,1976,4691189,0,0
PER-0009,Aaron  Evans,Vice President of Investor Relations,,executive,RSG,<NA>,<NA>,<NA>,0,0
PER-0010,Aaron  Gwinner,Senior VP and Chief Digital & Technology Officer,,executive,CPB,,,,0,0
PER-0011,Aaron  Musgrave CPA,Vice President of Investor Relations,,executive,AWK,,,,0,0
PER-0012,Aaron A. Anderson,Chief Accounting Officer,,executive,META,,,,0,0
PER-0013,Aaron C. Von Staats Esq.,"Executive VP, General Counsel & Corporate Secretary",,executive,PTC,59,1966,916010,0,0
PER-0014,Aaron E. Alt J.D.,Chief Financial Officer,,executive,CAH,53,1972,2232222,0,0
PER-0015,Aaron J. Johnson,Senior VP of Local Customer & Community Engagement and Chief Sustainability Officer,,executive,PCG,,,,0,0
PER-0016,Aaron J. Webster,Executive VP & Global Chief Risk Officer,,executive,PYPL,45,1980,4578711,0,0
PER-0017,Aaron Kyle Stucki,President of Transportation Solutions,,executive,TEL,51,1974,3810945,6743974,3303414
PER-0018,Aaron P. Jagdfeld,"Chairman, President & CEO",,executive,GNRC,53,1972,3047724,10427867,46274192
PER-0019,Aaron S. Ahola,"Executive VP, General Counsel & Corporate Secretary",,executive,AKAM,55,1970,450885,0,0
PER-0020,Aart J. de Geus Ph.D.,Co-Founder & Executive Chairman,,executive,SNPS,71,1954,728760,46452464,46319496
PER-0021,Abbey  Linville,Vice President of Corporate Communications,,executive,SJM,<NA>,<NA>,<NA>,0,0
PER-0022,Abby  Teisch,Executive Vice President of Marketing,,executive,WSM,,,,0,0
PER-0023,Abdellah  Merad,Executive Vice President of Core Services & Equipment,,executive,SLB,51,1974,1892588,0,0
PER-0024,Abigail  Stock B.A.,Executive Vice President of Marketing & Communications,,executive,AXON,,,,0,0
PER-0025,Abigail L. Motsinger,Vice President of Investor Relations,,executive,DUK,42,1983,,0,0
PER-0026,Abigail M. Diaz,Chief Administrative Officer & Corporate Secretary,,executive,TYL,,,,0,0
PER-0027,Achintya  Mangla,Head of Investment Banking Financing,,executive,C,,,,0,0
PER-0028,Adaire Rita Fox-Martin,"President, CEO & Director",,executive,EQIX,61,1964,1352076,0,0
PER-0029,Adam  Blitzer,Chief Operating Officer,,executive,DDOG,44,1981,794429,0,0
PER-0030,Adam  Deckinger,Chief Legal & Administrative Officer,,executive,TSN,49,1976,3032561,0,51124
PER-0031,Adam  Graves,Senior EVP and Head of Enterprise Strategy & Administration,,executive,USB,47,1978,,0,0
PER-0032,Adam  Karon,COO & GM of Cloud Technology Group,,executive,AKAM,53,1972,560539,0,0
PER-0033,Adam  Keeney Ph.D.,Executive VP & Head of Corporate Development,,executive,BIIB,48,1977,,0,0
PER-0034,Adam  Lenkowsky,Executive VP & Chief Commercialization Officer,,executive,BMY,53,1972,,0,0
PER-0035,Adam  Reiffe,VP of Investor Relations,,executive,BDX,<NA>,<NA>,<NA>,0,0
PER-0036,Adam  Rymer,Chief Financial Officer,,executive,CMG,43,1982,915962,0,1211233
PER-0037,Adam  Sanders,"VP, Corporate Controller & Chief Accounting Officer",,executive,AMAT,53,1972,,0,0
PER-0038,Adam  Smith,General Manager of Global Sales & Marketing,,executive,BSX,,,,0,0
PER-0039,Adam Brooks Ante,Senior Vice President of Paycor,,executive,PAYX,44,1981,56827,0,0
PER-0040,Adam E. Berry,Senior Vice President of Investor Relations & Communications,,executive,JBL,48,1977,,0,0
PER-0041,Adam G. Ciongoli J.D.,Chief Legal & Policy Officer,,executive,FOX;FOXA,56,1969,6725242,0,0
PER-0042,Adam G. Mabry,Chief Investment Officer,,executive,DOC,39,1986,1380823,0,0
PER-0043,Adam H. Schechter,"President, CEO & Chairman",,executive,LH,60,1965,4149118,0,10465292
PER-0044,Adam J. Reuille,Senior VP & Chief Accounting Officer,,executive,SPG,50,1975,742891,0,0
PER-0045,Adam L. Rosman,Chief Administrative Officer & Chief Legal Officer,,executive,FI,58,1966,725000,0,9928994
PER-0046,Adam M. Johnson,"President of Consumer Products, Service & Retailing",,executive,BRK.B,53,1972,,0,0
PER-0047,Adam M. Vela,Senior VP & General Counsel,,executive,CTRA,51,1974,,0,0
PER-0048,Adam N. Satterfield CPA,"Executive VP, Assistant Secretary & CFO",,executive,ODFL,50,1975,5365290,0,0
PER-0049,Adam S. Elinoff,"Senior VP, CFO & Principal Financial Officer",,executive,A,48,1977,,0,0
PER-0050,Adam T. Lawlis,Vice President of Investor Relations,,executive,FANG,,,,0,0
PER-0051,Adam William Uhlman,Head of Investor Relations,,executive,MTD,,,,0,0
PER-0052,Adam Y. Holton,Chief People Officer,,executive,GEHC,53,1972,,0,0
PER-0053,Adebayo O. Ogunlesi J.D.,"Founding Partner, Chairman & CEO of Global Infrastructure Partners, Senior MD and Director",,executive,BLK,71,1954,4290011,0,0
PER-0054,Adele Louise  Pentland,EVP of Legal & Government Relations and Chief Legal Officer,,executive,ADBE,53,1972,,0,0
PER-0055,Adena T. Friedman,CEO & Chairman,,executive,NDAQ,55,1970,6304357,0,44419320
PER-0056,Adin Morris Tooker,President,,executive,HIG,55,1970,2396514,504234,8772531
PER-0057,Aditya  Maheshwari,Senior VP & Chief Accounting Officer,,executive,DLTR,50,1975,,0,0
PER-0058,Adolfo M. Perez,Senior Vice President of Trade Sales and Marketing for Carnival Cruise Line,,executive,CCL,,,,0,0
PER-0059,Adrian  Perica,Vice President of Corporate Development,,executive,AAPL,51,1974,,0,0
PER-0060,Adrian Bradley Hill C.F.A.,"CEO, President & Director",,executive,MAA,49,1976,1517515,0,0
PER-0061,Adrian C. Chiu,Executive VP & President of Water Solutions,,executive,PNR,46,1979,1244534,16199,690990
PER-0062,Adrian J. Holt,Senior VP & Chief Human Resources Officer,,executive,EMN,56,1969,,0,0
PER-0063,Adrian M. Blocker,Senior Advisor,,executive,WY,68,1957,1512019,0,1433351
PER-0064,Adrian W. Sakowicz,Vice President of Communications,,executive,DOV,67,1958,,0,0
PER-0065,"Adrienne  O'Neill C.A., C.F.A., CPA",Executive VP & Chief Accounting Officer,,executive,MET,,,,0,0
PER-0066,Adrienne M.. Lynch,Vice President of Brand & External Communications,,executive,BKR,<NA>,<NA>,<NA>,0,0
PER-0067,Agostino  Ricupati CPA,Senior Vice President & Tax,,executive,COO,58,1967,670709,917720,1366153
PER-0068,Agustin  Izquierdo,Executive VP & CFO,,executive,LYB,,,,0,0
PER-0069,Agustin  Lopez Diaz,Senior VP & Chief Supply Chain Officer,,executive,SWK,,,,0,0
PER-0070,Ahmad A. Khan,President of Semiconductor Products & Customers,,executive,KLAC,51,1974,2215707,0,0
PER-0071,Ahmad R. S.  Bahai Ph.D.,Senior VP & CTO,,executive,TXN,62,1963,,0,0
PER-0072,Ahmed  Moghal,Executive VP & CFO,,executive,BKR,43,1982,,0,0
PER-0073,Ahmed M. Shihab,Executive VP & Chief Product Officer,,executive,WDC,53,1972,767946,0,0
PER-0074,Ahmed Sami  Badri,Head of Investor Relations & Strategic Finance,,executive,CSCO,,,,0,0
PER-0075,Ahn Amanda Poole,Executive VP & Chief People Officer,,executive,BMY,50,1975,,0,0
PER-0076,Aidan  Gormley,Director of Global Communications & Branding,,executive,PH,,,,0,0
PER-0077,Aijana  Zellner,Head of Investor Relations,,executive,ROK,,,,0,0
PER-0078,Aimee L. Davis,"Vice President of Marketing, Communications & Customer Operations",,executive,LNT,52,1973,,0,0
PER-0079,Ajay  Agrawal,Senior VP of Global Services & Chief Business Development Officer,,executive,CARR,61,1964,1192833,4032357,15393371
PER-0080,Ajay  Waghray,Executive VP & Chief Information Officer,,executive,PCG,63,1962,1433793,0,0
PER-0081,Ajay K. Arora,Senior VP & Chief Development Officer of Ameren Missouri,,executive,AEE,,,,0,0
PER-0082,Ajay K. Puri,Executive Vice President of Worldwide Field Operations,,executive,NVDA,70,1955,2313851,0,0
PER-0083,Ajit  Jain,Vice Chairman of Insurance Operations & Director,,executive,BRK.B,73,1952,21017250,0,0
PER-0084,Ajmere  Dale,Chief Accounting Officer,,executive,XYZ,55,1970,,0,0
PER-0085,Akash  Palkhiwala,"Executive VP, CFO & COO",,executive,QCOM,49,1976,2629426,0,0
PER-0086,Akhil  Mahendra,Vice President of Corporate Development,,executive,IEX,43,1982,,0,0
PER-0087,Akhil  Shrivastava,Executive VP & CFO,,executive,EL,52,1973,1334810,0,0
PER-0088,"Akinbolade  Oyegunwa M.B.A., Ph.D.",Executive VP and Chief Information & Technology Officer,,executive,LH,42,1983,,0,0
PER-0089,Akshay  Mittal,Global Operations President,,executive,HUBB,<NA>,<NA>,<NA>,0,0
PER-0090,Alain  Masse,President of North America Automotive,,executive,GPC,,,,0,0
PER-0091,Alain M. Bellemare,"Executive VP, President of International & Chairman of Advisory Board of Delta MRO",,executive,DAL,64,1961,3646855,0,1410203
PER-0092,Alaine S. Walsh,Executive Vice President of Human Capital & Administration,,executive,AVB,52,1973,,0,0
PER-0093,Alan  Davidson,Chief Information Officer,,executive,AVGO,,,,0,0
PER-0094,Alan  Douville,"VP, Chief Information Officer & Chief Information Security Officer",,executive,SYK,,,,0,0
PER-0095,Alan  King,"Group President of Vehicle Payments in UK, Europe, Australasia & Mexico",,executive,CPAY,48,1977,849459,5859739,7474437
PER-0096,Alan B. Miller,Founder & Executive Chairman of the Board,,executive,UHS,87,1938,3064714,42160528,54988580
PER-0097,Alan David Schnitzer J.D.,Chairman & CEO,,executive,TRV,59,1966,7777794,12443287,55257200
PER-0098,Alan S. Armstrong,Executive Chairman of the Board,,executive,WMB,63,1962,4818845,268060,0
PER-0099,Alan Todd Roth,President of East Region & COO,,executive,REG,50,1975,1514270,0,0
PER-0100,Alastair  Robertson,Chief Information Officer,,executive,RMD,,,,0,0
PER-0101,Alastair M. Borthwick,Executive VP & CFO,,executive,BAC,56,1969,5399466,0,0
PER-0102,Alaxandar  Wang,Head of Investor Relations,,executive,UBER,,,,0,0
PER-0103,"Albert  Bourla D.V.M., Ph.D.",Chairman of the Board & CEO,,executive,PFE,63,1962,9816064,679998,0
PER-0104,Albert G. White III,"President, CEO & Non-Independent Director",,executive,COO,55,1970,1245567,7670227,42960680
PER-0105,Albert Joseph Miralles Jr.,CFO & Executive VP of Enterprise Business Operations,,executive,CDW,55,1970,677285,0,47153
PER-0106,Alberto  Casellas,Executive VP and CEO of Health & Wellness,,executive,SYF,58,1967,1870436,60598,1248268
PER-0107,Alberto G. Ruocco,Senior VP & Chief Information Officer,,executive,LNT,,,,0,0
PER-0108,Aldo J. Pagliari,Senior VP of Finance & CFO,,executive,SNA,70,1955,1211858,5157857,30609880
PER-0109,Alejandro  Lopez,Director of Investor Relations,,executive,PPG,,,,0,0
PER-0110,Alejandro T. Vallejo,Executive VP & Chief People Officer,,executive,PCG,,,,0,0
PER-0111,Alesia Jeanne Haas,Chief Financial Officer,,executive,COIN,48,1977,733450,0,169371536
PER-0112,Alessandra  Costa,Senior Vice President of Operations,,executive,SNPS,,,,0,0
PER-0113,Alex  Chriss,"President, CEO & Director",,executive,PYPL,47,1978,6658527,0,0
PER-0114,Alex  Fisher,"Global Head of Partnerships, GTM Strategy & Operations of Square, Afterpay & Cash App",,executive,XYZ,<NA>,<NA>,<NA>,0,0
PER-0115,Alex  Kapper,Vice President of Investor Relations,,executive,CAT,<NA>,<NA>,<NA>,0,0
PER-0116,Alex G. Balazs,Executive VP & CTO,,executive,INTU,54,1971,1704000,5925961,2139095
PER-0117,Alex G. Whitney,"VP, Chief Accounting Officer & Controller",,executive,WY,37,1988,,0,0
PER-0118,Alexander C. Karp J.D.,"Co-Founder, CEO & Director",,executive,PLTR,58,1967,4630170,1389950208,857737472
PER-0119,Alexander E. C. Overstrom,EVP & Head of Retail Banking,,executive,PNC,40,1985,3021736,0,0
PER-0120,Alexander H. Rogers J.D.,"Executive VP, President of Qualcomm Technology Licensing (QTL) & Global Affairs",,executive,QCOM,68,1957,2349262,0,0
PER-0121,Alexander H. Tisch,"President & CEO of Loews Hotels, Co and Director & VP",,executive,L,47,1978,,0,0
PER-0122,Alexander J. K. Jessett,President & CFO,,executive,CPT,51,1974,2013715,0,0
PER-0123,Alexander R. Bradley,Chief Financial Officer,,executive,FSLR,44,1981,686669,0,0
PER-0124,Alexander Robert Glenn,Executive VP & Chief Legal Officer,,executive,DUK,60,1965,,0,0
PER-0125,Alexandra Dawn Brooks,Executive VP & Chief Accounting Officer,,executive,FIS,54,1971,,0,0
PER-0126,Alexandra Michele Albright,Chief Compliance Officer,,executive,CBOE,,,,0,0
PER-0127,Alexandre O. Eboli,Executive VP & Chief Supply Chain Officer,,executive,CAG,53,1972,1189576,0,0
PER-0128,Alexia Skouras Quadrani,Executive Director of Investor Relations,,executive,ACN,,,,0,0
PER-0129,Alexis  Le-Quoc,"Co-Founder, CTO & Director",,executive,DDOG,50,1975,794818,328810208,289442144
PER-0130,Alexis  Smith,Vice President & Head of Investor Relations,,executive,INCY,,,,0,0
PER-0131,Alexis P. Bernard,Chief Technology Officer,,executive,HUBB,51,1974,,0,0
PER-0132,Ali  Musa,Director of Corporate Communications,,executive,DASH,<NA>,<NA>,<NA>,0,0
PER-0133,Alice  Christenson,Chief Accounting Officer,,executive,PTC,,,,0,0
PER-0134,Alice L. Jolla,Corporate VP & Chief Accounting Officer,,executive,MSFT,59,1966,,0,0
PER-0135,Alicia C. Kelly,"Executive VP, Secretary & General Counsel",,executive,TJX,,,,0,0
PER-0136,Alina  Kerdman,"SVP, Controller & Chief Accounting Officer",,executive,CTSH,44,1981,,0,0
PER-0137,Alissa B. Vickery,Chief Accounting Officer,,executive,CPAY,47,1978,304768,2904015,760968
PER-0138,Allan J. Brazier,VP & Chief Accounting Officer,,executive,APTV,58,1967,,0,0
PER-0139,Allan Wade Smith,President of FirstEnergy Utilities,,executive,FE,60,1965,935444,0,0
PER-0140,Allen C. Behr,Executive Vice President of Raw Materials,,executive,NUE,51,1974,2610525,0,1165001
PER-0141,Allen J. L. Wang,Senior Vice President of North Asia,,executive,EXPD,,,,0,0
PER-0142,Allen L. Wilkinson CPA,Senior VP & Chief Accounting Officer,,executive,CBOE,37,1988,,0,0
PER-0143,Allen W. Ge,Group President of Asia Pacific,,executive,TT,,,,0,0
PER-0144,Allison  Dunavant,Senior Vice President of Human Resources,,executive,CPT,,,,0,0
PER-0145,Allison  Mullis,Executive VP & Chief Human Resources Officer,,executive,INVH,,,,0,0
PER-0146,Allison Gayle Niderno,"Senior VP, Controller & Principal Accounting Officer",,executive,HIG,45,1980,,0,0
PER-0147,Allison S. Lausas,VP & Chief Accounting Officer,,executive,IEX,45,1980,606105,0,16956
PER-0148,Allon  Stabinsky,Senior VP and Chief Deputy General Counsel of the Law & Policy Group,,executive,INTC,,,,0,0
PER-0149,Allyson  Park,Senior VP & Chief Communications Officer,,executive,WMT,,,,0,0
PER-0150,Alok  Juyal,Global Head of IR,,executive,HPQ,,,,0,0
PER-0151,Alok  Maskara,"CEO, President & Director",,executive,LII,54,1971,4352826,0,3508242
PER-0152,Altaf  Rupani,Executive VP & Chief Information Officer,,executive,IT,51,1974,,0,0
PER-0153,Alvaro Jose Henao,President & CEO of LATAM,,executive,SW,59,1966,,0,0
PER-0154,Amanda  Ho,Director of Investor Relations,,executive,PNW,,,,0,0
PER-0155,Amanda  Rosseter,"Executive VP, Chief Communications & Brand Officer",,executive,PNC,55,1970,,0,0
PER-0156,Amanda  Schumer,Director of People,,executive,VICI,,,,0,0
PER-0157,Amanda  Teder,Chief Marketing Officer,,executive,GNRC,,,,0,0
PER-0158,Amanda J. Rome,"Executive VP, Group President of Utilities & Chief Customer Officer",,executive,XEL,44,1981,1100820,0,0
PER-0159,Amanpal Singh Bhutani,CEO & Director,,executive,GDDY,49,1976,2318425,0,40019584
PER-0160,Ambrish  Srivastava Ph.D.,Vice President of Investor Relations,,executive,WDC,,,,0,0
PER-0161,Amichai  Ron,Senior Vice President of Embedded Processing & DLP® Products,,executive,TXN,47,1978,2161427,1338224,4545415
PER-0162,Amie Thuener O'Toole,"Corporate Controller, Chief Accounting Officer & VP",,executive,GOOG;GOOGL,50,1975,,0,0
PER-0163,Amiee  Bayer-Thomas,Chief Retail Officer,,executive,ULTA,,,,0,0
PER-0164,Amit  Banati,Chief Financial Officer,,executive,KVUE,56,1969,,0,0
PER-0165,Amit  Guliani,Senior VP & CTO,,executive,PODD,,,,0,0
PER-0166,Amit  Gupta,"Senior VP, Chief Digital & Information Officer",,executive,IDXX,,,,0,0
PER-0167,Amit  Jain,Chief Strategy Officer,,executive,PTC,,,,0,0
PER-0168,Amit K. Zavery,"President, Chief Product Officer & COO",,executive,NOW,53,1972,1362243,0,0
PER-0169,Amol  Chaubal,Senior VP & CFO,,executive,WAT,49,1976,985863,0,590432
PER-0170,Amrita  Ahuja,"Foundational Lead, COO, CFO & Treasurer",,executive,XYZ,45,1980,570000,0,3644444
PER-0171,Amy  Hunter,VP of Corporate Audit Services & Chief Compliance Officer,,executive,DUK,,,,0,0
PER-0172,Amy  Landucci,Chief Information & Digital Officer,,executive,SOLV,49,1976,2319204,0,0
PER-0173,Amy  Rogers,Head of Strategic Communications,,executive,EQT,,,,0,0
PER-0174,Amy  Tiliakos,"Senior VP, Chief Accounting Officer & Controller",,executive,SYF,43,1982,,0,0
PER-0175,Amy  Wakeham,Senior Vice President of Investor Relations & External Finance Communications,,executive,SOLV,,,,0,0
PER-0176,Amy  Well,Senior VP of Chubb Group & Chief Marketing and Communications Officer,,executive,CB,,,,0,0
PER-0177,Amy  Yong,Senior Vice President of Investor Relations,,executive,LYV,,,,0,0
PER-0178,Amy B. Summy,"EVP, Chief Marketing Officer & Consumer Business Lead",,executive,LH,59,1966,,0,0
PER-0179,Amy Christine Friedrich,President of Benefits & Protection,,executive,PFG,54,1971,1971842,755369,4783033
PER-0180,Amy E. Best,Senior VP & Chief Human Resources Officer,,executive,LNT,,,,0,0
PER-0181,Amy E. Cianciaruso,"Corporate Senior Vice President, Chief Communications Officer & Government Relations",,executive,CRL,,,,0,0
PER-0182,Amy E. Hood,Executive VP & CFO,,executive,MSFT,53,1972,4444191,0,0
PER-0183,Amy E. Wilson J.D.,General Counsel & Corporate Secretary,,executive,DOW,54,1971,1419706,17123,0
PER-0184,Amy G. Brady,Executive VP & Chief Information Officer,,executive,KEY,58,1967,1923000,38450,0
PER-0185,Amy L. Cralam,VP & General Counsel,,executive,LNT,,,,0,0
PER-0186,Amy L. Johnson,Corporate VP & Controller,,executive,RTX,49,1976,,0,0
PER-0187,Amy Marie Stepnowski,Executive VP & Chief Investment Officer,,executive,HIG,56,1969,2225200,0,2718617
PER-0188,Amy Rochelle Davis,VP & President of Accelera by Cummins and Components,,executive,CMI,55,1970,2465742,325556,1363172
PER-0189,Ana  Sanchez,President of Europe & Middle East and Africa (EMEA),,executive,MKC,49,1976,,0,0
PER-0190,Anand  Bahl,Corp. VP & Chief Information Officer,,executive,MU,,,,0,0
PER-0191,Anand  Selvakesari,Chief Operating Officer,,executive,C,57,1968,8183176,0,0
PER-0192,Anand J. Rao,Senior VP and Chief Marketing & Digital Officer,,executive,CDW,,,,0,0
PER-0193,Anat  Ashkenazi,Senior VP & CFO,,executive,GOOG;GOOGL,52,1973,11455556,0,0
PER-0194,Anat  Davidzon,Managing Director of Canada,,executive,CMG,,,,0,0
PER-0195,Anat  Hakim J.D.,"Executive VP, General Counsel & Secretary",,executive,LLY,56,1969,3316834,0,0
PER-0196,Ander  Krupa,General Counsel & Corporate Secretary,,executive,ALB,,,,0,0
PER-0197,Andre  Argenton,Chief Technology & Sustainability Officer,,executive,DOW,,,,0,0
PER-0198,Andre  Maciel,Executive VP & Global CFO,,executive,KHC,50,1975,1415064,0,207401
PER-0199,Andre  Maestrini,President & Chief Commercial Officer,,executive,LULU,60,1965,1441328,0,578274
PER-0200,Andre  Schulten,Chief Financial Officer,,executive,PG,54,1971,1824131,0,6001604
PER-0201,Andrea  Behr,Director of Corporate Communications,,executive,O,<NA>,<NA>,<NA>,0,0
PER-0202,Andrea  Carter,Chief Human Resources Officer & Executive VP,,executive,ALL,55,1970,,0,0
PER-0203,Andrea  Whitney,Chief Communications & Community Impact Officer,,executive,YUM,,,,0,0
PER-0204,Andrea M. Alexander,Senior VP & Chief Human Resources Officer,,executive,CTRA,42,1983,1274158,0,0
PER-0205,Andreas B. Bechtolsheim Ph.D.,Co-Founder &  Chief Architect,,executive,ANET,70,1955,,0,0
PER-0206,Andreas J. Panayiotou,Chief Marketing Officer,,executive,KDP,,,,0,0
PER-0207,Andres Ricardo Gluski Weilert Ph.D.,"President, CEO & Director",,executive,AES,67,1958,3986759,891119,0
PER-0208,Andrew  Anagnost Ph.D.,"President, CEO & Director",,executive,ADSK,60,1965,2708347,0,0
PER-0209,Andrew  Ashton,Senior Vice President of Corporate Finance,,executive,CSCO,,,,0,0
PER-0210,Andrew  Bonzani,Executive VP & General Counsel,,executive,IPG,60,1964,2585702,0,0
PER-0211,Andrew  Bosworth,Chief Technology Officer,,executive,META,43,1982,1923184,0,0
PER-0212,Andrew  Emerson,"Executive VP, CFO & Treasurer",,executive,IDXX,42,1983,,0,0
PER-0213,Andrew  Enrietti,Chief Administrative & Transformation Officer,,executive,VTRS,40,1985,,0,0
PER-0214,Andrew  Foust,President of Americas,,executive,MKC,44,1981,1246617,0,43034
PER-0215,Andrew  Hardy,Executive VP & Chief Sales Officer,,executive,NXPI,48,1977,,0,0
PER-0216,Andrew  Isaacson,Senior VP of Strategy & Corporate Development,,executive,PODD,,,,0,0
PER-0217,Andrew  Johns CFA,Senior Vice President of Investor Relations,,executive,DOC,,,,0,0
PER-0218,Andrew  Kirk,Senior Director of Investor Relations & Corporate Modeling,,executive,AEE,,,,0,0
PER-0219,Andrew  Ludwig,Vice President of Investor Relations,,executive,PPL,,,,0,0
PER-0220,Andrew  Riker,Vice President of Investor Relations,,executive,DOW,,,,0,0
PER-0221,Andrew  Uerkwitz,Vice President of Investor Relations,,executive,EA,<NA>,<NA>,<NA>,0,0
PER-0222,Andrew  Weinberg,Chief Compliance Officer,,executive,MCO,<NA>,<NA>,<NA>,0,0
PER-0223,Andrew  Wilson,Chairman & CEO,,executive,EA,50,1975,4818925,0,0
PER-0224,Andrew  Xilas,Senior VP & GM of Dental,,executive,STE,60,1965,1438246,0,0
PER-0225,Andrew  Zitney,Executive VP & Chief Information Officer,,executive,STT,,,,0,0
PER-0226,Andrew B. Limoges,"VP, Controller & Principal Accounting Officer",,executive,URI,43,1982,729806,0,0
PER-0227,Andrew C. Florance,"President, Founder, CEO & Director",,executive,CSGP,61,1964,4201110,0,37412300
PER-0228,Andrew C. Hedberg,Director of Investor Relations,,executive,ECL,,,,0,0
PER-0229,Andrew C. Plenge,Vice President of Investor Relations,,executive,EXC,,,,0,0
PER-0230,Andrew Craig Wiechmann,Chief Financial Officer,,executive,MSCI,45,1980,1361106,0,0
PER-0231,Andrew D. Cooper,Senior VP & CFO,,executive,PNW,46,1979,1413001,0,0
PER-0232,Andrew D. Dickinson,Chief Financial Officer,,executive,GILD,55,1970,2729705,5536695,8763160
PER-0233,Andrew D. Lundquist,Senior Vice President of Government Affairs,,executive,COP,64,1961,,0,0
PER-0234,Andrew D. Priestley,Executive Vice President of Global Business Units,,executive,JBL,54,1971,2143915,0,0
PER-0235,Andrew D. Ross,President & COO,,executive,PH,58,1967,2864723,6270878,11551511
PER-0236,Andrew Francis Sullivan,"CEO, President & Director",,executive,PRU,54,1971,3212146,771226,71354
PER-0237,Andrew G. Macdonald,President & COO,,executive,UBER,40,1985,,0,0
PER-0238,Andrew J. Cecere,Executive Chairman,,executive,USB,64,1961,6413042,96354,1529486
PER-0239,Andrew J. Micallef,Executive VP & Chief Operations and Manufacturing Officer,,executive,NXPI,60,1965,864876,0,0
PER-0240,Andrew J. Morton,Head of Markets,,executive,C,63,1962,13488622,0,0
PER-0241,Andrew J. Murphy Ph.D.,Executive VP of Research & Co-Chief Scientific Officer,,executive,REGN,67,1958,1613560,26279800,56244512
PER-0242,Andrew J. Surdykowski J.D.,General Counsel,,executive,ICE,54,1971,,0,0
PER-0243,Andrew Jackson Paine III,President of Key Institutional Bank,,executive,KEY,55,1970,2723000,504553,298937
PER-0244,Andrew K. Silvernail,CEO & Chairman,,executive,IP,54,1971,3872297,0,0
PER-0245,Andrew L. Castellaneta,Senior VP & Chief Accounting Officer,,executive,OMC,66,1959,,0,0
PER-0246,Andrew Lynn Asher,Chief Financial Officer,,executive,CNC,56,1969,4003059,0,0
PER-0247,Andrew M. Dahl,"Principal Accounting Officer, Senior VP & Corporate Controller",,executive,EW,48,1977,,0,0
PER-0248,Andrew M. Gordon,"Chief Strategy Officer, COO & Director",,executive,PSKY,,,,0,0
PER-0249,Andrew M. O'Brien,Executive VP of Strategy & Commercial and CFO,,executive,COP,51,1974,1593319,0,0
PER-0250,Andrew M. Schleimer,Chief Financial Officer,,executive,TKO,47,1978,6260971,0,0
PER-0251,Andrew M. Watterson,Chief Operating Officer,,executive,LUV,58,1967,2164448,0,0
PER-0252,Andrew M. Young,Chief Financial Officer,,executive,COF,49,1976,3203220,0,0
PER-0253,Andrew Mason Sieg,Head of Wealth,,executive,C,57,1968,8534693,0,0
PER-0254,Andrew Michael Saperstein,Co-President,,executive,MS,58,1967,10967603,0,0
PER-0255,Andrew P. Hider,"CEO, President, Interim Group President of Medical Products & Therapies and Director",,executive,BAX,48,1977,,0,0
PER-0256,Andrew P. Nocella,Executive VP & Chief Commercial Officer,,executive,UAL,55,1970,5179797,0,0
PER-0257,Andrew P. Power,President & CEO,,executive,DLR,45,1980,5039836,0,0
PER-0258,Andrew R. J. Bonfield,Chief Financial Officer,,executive,CAT,63,1962,2679581,3895096,1267940
PER-0259,Andrew R. Jassy,"President, CEO & Director",,executive,AMZN,57,1968,1596889,0,0
PER-0260,Andrew R. Schiesl Esq.,"Senior VP, General Counsel, Chief Compliance Officer & Secretary",,executive,IR,53,1972,1047240,5407649,0
PER-0261,Andrew Rex Hargreaves C.F.A.,Vice President of Investor Relations,,executive,DASH,,,,0,0
PER-0262,Andrew Ryan Schlossberg,"President, CEO & Director",,executive,IVZ,51,1974,4992972,0,0
PER-0263,Andrew S. Marsh,Chairman of the Board & CEO,,executive,ETR,53,1972,3611952,3243158,13929655
PER-0264,Andrew Tak Shing Lo,Senior MD & CEO of Asia Pacific,,executive,IVZ,63,1962,2677818,0,0
PER-0265,Andrez  Carberry,Executive VP & Chief Human Resources Officer,,executive,PSX,,,,0,0
PER-0266,Andy  Fang,Head of LaunchPad & Director,,executive,DASH,33,1992,,0,0
PER-0267,Andy  Hamilton,Senior VP and President & MD of LKQ Europe,,executive,LKQ,50,1975,1026934,0,0
PER-0268,Andy  Nowinski,Vice President of Investor Relations & Strategic Finance,,executive,CRWD,,,,0,0
PER-0269,Andy  Taylor,Vice President of Investor Relations,,executive,WY,,,,0,0
PER-0270,Andy  White,Senior Vice President of Technology,,executive,CRM,,,,0,0
