person_id,name,title,organization,type,tickers,age,born,pay,exercised,unexercised
PER-4034,Roxanne M. Stelter,"VP, Controller, Chief Accounting Officer & Principal Accounting Officer",,executive,TAP,48,1977,,0,0
PER-4035,Roy E. Stevens,President of Homeland Sector,,executive,LDOS,55,1970,1327616,171123,699947
PER-4036,Roz  Smith,Chief Operating Officer,,executive,BR,,,,0,0
PER-4037,Rudy  Poussot,Senior Vice President of Strategy & Corporate Development,,executive,WST,,,,0,0
PER-4038,Ruosi  Wan,"Executive Vice President of Strategy, Corporate Development and M&A",,executive,MA,,,,0,0
PER-4039,Russ  Schafer,Executive Vice President of Marketing,,executive,FTNT,,,,0,0
PER-4040,Russell  Wallach,Global President of Sponsorship & Advertising Division,,executive,LYV,59,1966,,0,0
PER-4041,Russell A. Flugel,"VP, Controller, Chief Accounting Officer & Principal Accounting Officer",,executive,MOS,55,1970,,0,0
PER-4042,Russell A. Gainford,Chief Technology Officer,,executive,TYL,,,,0,0
PER-4043,Russell C. Torres,President & COO,,executive,KMB,53,1972,1959404,0,0
PER-4044,Russell D. Miller,Senior EVP and COO of Warehouse Operations - U.S. & Mexico,,executive,COST,68,1957,1030047,0,0
PER-4045,Russell J. Weiner,CEO & Director,,executive,DPZ,57,1968,3172337,10316347,9643260
PER-4046,Russell K. Zusi,Senior EVP & Chief Risk Officer,,executive,RF,50,1975,3124215,0,0
PER-4047,Russell T. Stokes,Senior VP & CEO of Commercial Engines & Services,,executive,GE,54,1971,3764645,0,31015794
PER-4048,Ruth  Allen,Executive VP & Chief Human Resources Officer,,executive,NWS;NWSA,47,1978,1978500,0,0
PER-4049,Ruth  Cotter,Senior VP & Chief Administrative Officer,,executive,AMD,,,,0,0
PER-4050,Ruth Ann Keene J.D.,"Executive VP, Corporate Affairs, Chief Legal Officer & Corporate Secretary",,executive,ADSK,56,1969,1093461,0,0
PER-4051,Ruth M. Porat,President & Chief Investment Officer,,executive,GOOG;GOOGL,67,1958,3023363,0,0
PER-4052,Ruth T. Dowling,"Executive VP, Chief Administrative Officer, General Counsel & Secretary",,executive,AMT,55,1970,1568128,0,0
PER-4053,Ryan  Hill,Senior Director of Corporate Communications,,executive,PPL,,,,0,0
PER-4054,Ryan  Long,"Executive VP, Chief Legal & Compliance Officer & General Counsel",,executive,XEL,,,,0,0
PER-4055,Ryan  Loy,Chief Information Officer,,executive,GPN,,,,0,0
PER-4056,Ryan  Mulally,"Executive VP, General Counsel & Corporate Secretary",,executive,DPZ,,,,0,0
PER-4057,Ryan A. Taylor,Vice President of Investor Relations,,executive,VLTO,49,1976,,0,0
PER-4058,Ryan C. Burke,Vice President of Investor Relations,,executive,PSA,,,,0,0
PER-4059,Ryan D. Campbell,"President of Worldwide Construction, Forestry & Power Systems",,executive,DE,50,1975,2870301,0,3658758
PER-4060,Ryan D. Taylor J.D.,Chief Revenue Officer & Chief Legal Officer,,executive,PLTR,42,1983,465919,30092188,33091570
PER-4061,Ryan D. Yost,President of Materials Group,,executive,AVY,49,1976,1071652,0,0
PER-4062,Ryan E. Driscoll,"Vice President, General Counsel & Secretary",,executive,TER,47,1978,857419,0,0
PER-4063,Ryan J. Snyder,Senior VP & Chief Information Officer,,executive,TMO,,,,0,0
PER-4064,Ryan M. Lance,Chairman & CEO,,executive,COP,63,1962,5870162,34395132,79193816
PER-4065,Ryan M. McInerney,CEO & Director,,executive,V,50,1975,7129213,26567312,83317928
PER-4066,Ryan R. Marshall,"President, CEO & Director",,executive,PHM,50,1975,9210462,0,0
PER-4067,Ryan S. Keeton,Co-Founder & Chief Brand Officer,,executive,CVNA,47,1978,544522,0,0
PER-4068,Ryan W. Paulson,"Principal Accounting Officer, VP & Controller",,executive,DOV,51,1974,,0,0
PER-4069,Rylan K. Burns,Executive VP & Chief Investment Officer,,executive,ESS,40,1985,1731169,0,0
PER-4070,Sabih  Khan,Senior VP & Chief Operating Officer,,executive,AAPL,58,1967,5021905,0,0
PER-4071,Sabina  Ewing,Senior VP of Business & Technology Services and Chief Information Officer,,executive,ABT,51,1974,,0,0
PER-4072,Sabrina  Sanders,"Senior VP, Chief Accounting Officer & Controller",,executive,T,45,1980,,0,0
PER-4073,Sachin  Mehra,Chief Financial Officer,,executive,MA,54,1971,2953621,5261475,12075489
PER-4074,Sadie M. Stern,Executive VP & Chief Human Resources Officer,,executive,DXCM,50,1975,550829,0,0
PER-4075,Safra Ada Catz,Executive Vice Chair,,executive,ORCL,63,1962,1113417,510901632,422698624
PER-4076,Sajid  Daudi,Head of Investor Relations,,executive,MCHP,,,,0,0
PER-4077,Sallilyn  Schwartz,Chief Investor Relations Officer,,executive,RMD,,,,0,0
PER-4078,Sally  Moore,Executive VP & Chief Client Officer,,executive,SPGI,49,1976,2093472,0,0
