symbol,name,title,age,born,pay,exercised,unexercised
CPT,Mr. Joshua L. Lebar,"Senior VP, General Counsel & Secretary",<NA>,<NA>,<NA>,0,0
CPT,Mr. Michael P. Gallagher,Senior VP & Chief Accounting Officer,56,1969,<NA>,0,0
CPT,Mr. Richard J. Campo,Chairman of the Board & CEO,70,1955,3191692,0,0
CPT,Ms. Allison  Dunavant,Senior Vice President of Human Resources,<NA>,<NA>,<NA>,0,0
CPT,Ms. Julie  Keel,Vice President of Marketing,<NA>,<NA>,<NA>,0,0
CPT,Ms. Kimberly A. Callahan,Senior Vice President of Investor Relations,55,1970,<NA>,0,0
CPT,Ms. Kristy P. Simonette,Senior VP of Strategic Services & Chief Information Officer,58,1967,<NA>,0,0
CPT,Ms. Laurie A. Baker,Executive VP & COO,60,1965,1718664,0,0
CRH,Mr. Jim  Mintern,CEO & Director,57,1968,2554258,102129,0
CRH,Mr. Nathan  Creech,President of Americas Division,48,1977,2961947,0,0
CRH,Mr. Noel  O'Mahony,Group Performance & Strategy Director and Senior VP,<NA>,<NA>,<NA>,0,0
CRH,Mr. Padraig O. Riordain,Chief Legal & Corporate Affairs Officer,59,1966,<NA>,0,0
CRH,Mr. Peter  Buckley,President of International Division,60,1965,2285765,0,0
CRH,Mr. Randy  Lake,Chief Operating Officer,59,1966,4121192,0,0
CRH,Mr. Scott W. Parson,Senior Vice President of Americas Materials West,<NA>,<NA>,<NA>,0,0
CRH,Mr. Tom  Holmes C.F.A.,Head of Investor Relations,<NA>,<NA>,<NA>,0,0
CRH,Ms. Kristin  Lane,Chief Human Resources Officer,55,1970,<NA>,0,0
CRH,Ms. Nancy K. Buese CPA,Chief Financial Officer,55,1970,<NA>,0,0
CRL,Mr. James C. Foster J.D.,"Chairman, President & CEO",74,1951,2246975,0,0
CRL,Mr. Joseph W. LaPlume J.D.,Corporate Executive Vice President of Corporate Development & Strategy,51,1974,806426,0,33024
CRL,Mr. Mark  Mintz,"Corporate EVP, Chief Information Officer & Global Shared Services",<NA>,<NA>,<NA>,0,0
CRL,Mr. Matthew L. Daniel J.D.,"Corporate Senior VP, General Counsel, Corporate Secretary & Chief Compliance Officer",<NA>,<NA>,<NA>,0,0
CRL,Mr. Michael Gunnar Knell,"Interim CFO, Corporate Senior VP & Chief Accounting Officer",48,1977,<NA>,0,0
CRL,Mr. Todd  Spencer,Corporate Vice President of Investor Relations,<NA>,<NA>,<NA>,0,0
CRL,Ms. Amy E. Cianciaruso,"Corporate Senior Vice President, Chief Communications Officer & Government Relations",<NA>,<NA>,<NA>,0,0
CRL,Ms. Birgit  Girshick,Corporate Executive VP & COO,54,1971,1102643,405069,32110
CRL,Ms. Victoria L. Creamer,Corporate Executive VP & Chief People Officer,55,1970,780419,0,20644
CRL,Prof. Julie  Frearson Ph.D.,Corporate Senior VP & Chief Scientific Officer,<NA>,<NA>,<NA>,0,0
CRM,Mr. Andy  White,Senior Vice President of Technology,<NA>,<NA>,<NA>,0,0
CRM,Mr. Ariel  Kelman,President & Chief Marketing Officer,<NA>,<NA>,<NA>,0,0
CRM,Mr. David  Schmaier,President and Chief Strategy Officer,61,1964,<NA>,0,0
CRM,Mr. Marc R. Benioff,"Co-Founder, Chairman & CEO",60,1965,9646000,72533232,121975536
CRM,Mr. Miguel  Milano,President & Chief Revenue Officer,56,1969,<NA>,0,0
